Noun,Meaning,Nominative,Accusative,Dative,Genitive,Gender,N1E,N2E,N1,N2,A1E,A2E,A1,A2,D1E,D2E,D1,D2,G1E,G2E,G1,G2,Image
Banane,Banana,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_001.png
Orange,Orange,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_002.png
Kiwi,Kiwi,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_003.png
Pflaume,Plum,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_004.png
Kirsche,Cherry,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_005.png
Ananas,Pineapple,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_006.png
Mango,Mango,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_007.png
Wassermelone,Watermelon,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_008.png
Schere,Scissors,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_009.png
Säge,Saw,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_010.png
Wasserwaage,Spirit level,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_011.png
Zange,Pliers,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_012.png
Säure,Acid,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_013.png
Kamera,Camera,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_014.png
Bohrmaschine,Drilling machine,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_015.png
Schneidemaschine,Cutting machine,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_016.png
Oase,Oasis,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_017.png
Festung,Fortress,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\individual cards\NounCard_018.png
