Verb,English,Ich,du,es,wir,ihr,Sie,Target,Target2,Cases,prepositions,Image
arbeiten,to work,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,II,,acc,ab;auf;aus;durch;mit;nach;nieder;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_01.png
bekommen,to get/receive,bekomme,bekommst,bekommt,bekommen,bekommt,bekommen,II,III,accdat,ab;auf;durch;mit;nach;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_02.png
bringen,to bring,bringe,bringst,bringt,bringen,bringt,bringen,II,III,accdat,ab;auf;bei;durch;mit;nach;nieder;um;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_03.png
decken,to cover,decke,deckst,deckt,decken,deckt,decken,II,III,accdat,ab;auf;durch;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_04.png
denken,to think,denke,denkst,denkt,denken,denkt,denken,II,III,accdat,an;aus;mit;nach;nieder;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_05.png
fallen,to fall,falle,fällst,fällt,fallen,fallt,fallen,III,,dat,ab;an;auf;aus;bei;durch;nach;nieder;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_06.png
fangen,to catch,fange,fängst,fängt,fangen,fangt,fangen,II,III,accdat,ab;an;auf;bei;nieder;um,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_07.png
finden,to find,finde,findest,findet,finden,findet,finden,II,III,accdat,ab;auf;aus;durch;mit;unter,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_08.png
fordern,to demand,fordere,forderst,fordert,fordern,fordert,fordern,II,III,accdat,ab;an;auf;aus;bei;nach;um;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_09.png
fuegen,to add,füge,fügst,fügt,fügen,fügt,fügen,II,III,accdat,ab;an;aus;durch;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_10.png
geben,to give,gebe,gibst,gibt,geben,gebt,geben,II,III,accdat,ab;an;auf;aus;bei;durch;mit;nach;nieder;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_11.png
gehen,to go,gehe,gehst,geht,gehen,geht,gehen,III,,dat,ab;an;auf;aus;bei;durch;mit;nach;nieder;um;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_12.png
hören,to hear,höre,hörst,hört,hören,hört,hören,II,III,accdat,ab;an;auf;aus;mit;nieder;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_13.png
kaufen,to buy,kaufe,kaufst,kauft,kaufen,kauft,kaufen,II,III,accdat,ab;auf;aus;nach;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_14.png
kommen,to come,komme,kommst,kommt,kommen,kommt,kommen,III,,dat,ab;an;auf;aus;bei;durch;mit;nach;nieder;um;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_15.png
machen,to make,mache,machst,macht,machen,macht,machen,II,III,accdat,ab;an;auf;aus;bei;durch;mit;nach;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_16.png
nehmen,to take,nehme,nimmst,nimmt,nehmen,nehmt,nehmen,II,III,accdat,ab;an;auf;aus;durch;für;mit;nieder;um;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_17.png
rechnen,to calculate,rechne,rechnest,rechnet,rechnen,rechnet,rechnen,II,III,accdat,an;aus;durch;gegen;mit;nach;nieder;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_18.png
rufen,to call,rufe,rufst,ruft,rufen,ruft,rufen,II,III,accdat,ab;an;auf;aus;durch;nach;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_19.png
schuldigen,to accuse,beschuldige,beschuldigst,beschuldigt,beschuldigen,beschuldigt,beschuldigen,II,III,accdat,an;mit;nieder,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_20.png
setzen,to set,setze,setzt,setzt,setzen,setzt,setzen,II,III,accdat,ab;an;auf;aus;bei;durch;mit;nach;nieder;um;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_21.png
steigen,to rise,steige,steigst,steigt,steigen,steigt,steigen,III,,dat,ab;an;auf;aus;durch;nach;nieder;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_22.png
stellen,to put,stelle,stellst,stellt,stellen,stellt,stellen,II,III,accdat,ab;an;auf;aus;bei;durch;nach;nieder;um;unter;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_23.png
teilen,to share,teile,teilst,teilt,teilen,teilt,teilen,II,III,accdat,ab;an;auf;aus;mit;um;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_24.png
treffen,to meet,treffe,triffst,trifft,treffen,trefft,treffen,II,III,accdat,an;auf;zu,D:\workdrive backup\WorkStuff\Quatsch\individual cards\SplitVerbCode_25.png
